",""source"",""target"",""type"",""weight"""
"307,""Robin Schulz"",""Cheat Codes"",""undirected"",1.73913043478261"
"308,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.66666666666667"
"309,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",1.6"
"310,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",1.6"
"311,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",1.6"
"312,""Sean Paul"",""Dua Lipa"",""undirected"",1.53846153846154"
"313,""Ariana Grande"",""Nicki Minaj"",""undirected"",1.37931034482759"
"314,""Charly Black"",""Daddy Yankee"",""undirected"",1.25"
"315,""Tiësto"",""Bright Sparks"",""undirected"",1.21212121212121"
"316,""The Weeknd"",""Daft Punk"",""undirected"",1.14285714285714"
"317,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.11111111111111"
"318,""Kungs"",""Ephemerals"",""undirected"",1.08108108108108"
"319,""Martin Garrix"",""Bebe Rexha"",""undirected"",1.02564102564103"
"320,""The Chainsmokers"",""Halsey"",""undirected"",1"
"321,""Luis Fonsi"",""Daddy Yankee"",""undirected"",40"
"322,""Zayn Malik"",""Taylor Swift"",""undirected"",13.3333333333333"
"323,""Katy Perry"",""Skip Marley"",""undirected"",10"
"324,""The Weeknd"",""Daft Punk"",""undirected"",5.71428571428571"
"325,""The Chainsmokers"",""Emily Warren"",""undirected"",5"
"326,""Kygo"",""Selena Gomez"",""undirected"",4.44444444444444"
"327,""Dua Lipa"",""Martin Garrix"",""undirected"",3.63636363636364"
"328,""Tini"",""Sebastián Yatra"",""undirected"",3.33333333333333"
"329,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",3.07692307692308"
"330,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",3.07692307692308"
"331,""Descemer Bueno"",""Zion & Lennox"",""undirected"",3.07692307692308"
"332,""Louis Tomlinson"",""Steve Aoki"",""undirected"",2.5"
"333,""Shakira"",""Maluma"",""undirected"",2.35294117647059"
"334,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",2"
"335,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",2"
"336,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",2"
"337,""Clean Bandit"",""Anne-Marie"",""undirected"",1.81818181818182"
"338,""Clean Bandit"",""Sean Paul"",""undirected"",1.81818181818182"
"339,""Anne-Marie"",""Sean Paul"",""undirected"",1.81818181818182"
"340,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.73913043478261"
"341,""Cédric Gervais"",""Chris Willis"",""undirected"",1.6"
"342,""Cédric Gervais"",""David Guetta"",""undirected"",1.6"
"343,""Chris Willis"",""David Guetta"",""undirected"",1.6"
"344,""David Guetta"",""Robin Schulz"",""undirected"",1.48148148148148"
"345,""David Guetta"",""Cheat Codes"",""undirected"",1.48148148148148"
"346,""Robin Schulz"",""Cheat Codes"",""undirected"",1.48148148148148"
"347,""Maluma"",""Ricky Martin"",""undirected"",1.37931034482759"
"348,""Sean Paul"",""Dua Lipa"",""undirected"",1.33333333333333"
